City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Iqaluit,CA,63.7506,-68.5145,-20.31,68,99,10.0,overcast clouds
257,Victoria,HK,22.2855,114.1577,75.25,85,68,8.01,broken clouds
258,Nikolskoye,RU,59.7035,30.7861,32.88,99,100,2.62,overcast clouds
259,Bati,ET,11.1833,40.0167,61.43,57,84,2.15,broken clouds
260,Northam,GB,51.0333,-4.2167,42.62,93,27,6.71,scattered clouds
261,Nabire,ID,-3.3667,135.4833,79.72,85,100,1.12,overcast clouds
262,Ambilobe,MG,-13.2,49.05,73.74,96,100,0.92,light rain
263,Urumqi,CN,43.801,87.6005,43.75,76,98,13.42,overcast clouds
264,Serov,RU,59.6033,60.5787,1.89,96,100,4.41,overcast clouds
265,Barkhan,PK,29.8977,69.5256,68.99,38,31,3.29,scattered clouds
266,Sinnamary,GF,5.3833,-52.95,76.39,92,100,11.01,moderate rain
267,Sitka,US,57.0531,-135.33,42.69,56,100,17.27,overcast clouds
268,Dingle,PH,10.9995,122.6711,84.24,73,79,6.96,broken clouds
269,Nastola,FI,60.95,25.9333,26.83,93,15,2.8,few clouds
270,Deputatskiy,RU,69.3,139.9,-11.85,98,100,1.12,overcast clouds
271,Sankeshwar,IN,16.2667,74.4833,74.01,31,5,3.85,clear sky
272,Pithoragarh,IN,29.5833,80.2167,47.5,40,0,3.29,clear sky
273,Kudahuvadhoo,MV,2.6708,72.8944,82.49,67,100,2.37,overcast clouds
274,Salme,NP,28.0369,85.0942,50.29,30,62,7.2,broken clouds
275,Kuytun,RU,54.3419,101.5036,-15.07,100,78,3.13,broken clouds
276,Conde,BR,-7.2597,-34.9075,78.26,89,40,3.44,scattered clouds
277,Boa Vista,BR,2.8197,-60.6733,85.98,58,20,3.44,few clouds
278,Lanzhou,CN,36.0564,103.7922,49.21,36,0,2.51,clear sky
279,Kavieng,PG,-2.5744,150.7967,85.84,65,11,13.47,few clouds
280,Kozachi Laheri,UA,46.7037,32.9776,26.76,57,6,1.88,clear sky
281,Sungairaya,ID,0.7,108.9,83.03,62,100,2.66,overcast clouds
282,Tura,IN,25.5198,90.2201,70.61,29,0,2.77,clear sky
283,Songjianghe,CN,42.1859,127.479,34.07,97,100,3.02,snow
284,Watsa,CD,3.0372,29.5355,61.93,95,42,3.69,scattered clouds
285,Dinar,TR,38.065,30.1656,22.96,71,0,5.66,clear sky
286,Evensk,RU,61.95,159.2333,18.7,74,0,2.93,clear sky
287,Gambela,ET,8.25,34.5833,84.06,47,100,4.65,overcast clouds
288,Algiers,DZ,36.7525,3.042,53.42,82,75,5.75,broken clouds
289,Meulaboh,ID,4.1363,96.1285,78.06,87,46,4.14,scattered clouds
